lot_area,over_qual,over_cond,age_home_at_sale,age_remodel_at_sale,tot_bsmt_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bed_abvgr,enc_porch,mon_sold,yr_sold,lot_area over_qual,lot_area over_cond,lot_area age_home_at_sale,lot_area age_remodel_at_sale,lot_area tot_bsmt_sf,lot_area gr_liv_area,lot_area bsmt_full_bath,lot_area bsmt_half_bath,lot_area full_bath,lot_area half_bath,lot_area bed_abvgr,lot_area enc_porch,lot_area mon_sold,lot_area yr_sold,over_qual over_cond,over_qual age_home_at_sale,over_qual age_remodel_at_sale,over_qual tot_bsmt_sf,over_qual gr_liv_area,over_qual bsmt_full_bath,over_qual bsmt_half_bath,over_qual full_bath,over_qual half_bath,over_qual bed_abvgr,over_qual enc_porch,over_qual mon_sold,over_qual yr_sold,over_cond age_home_at_sale,over_cond age_remodel_at_sale,over_cond tot_bsmt_sf,over_cond gr_liv_area,over_cond bsmt_full_bath,over_cond bsmt_half_bath,over_cond full_bath,over_cond half_bath,over_cond bed_abvgr,over_cond enc_porch,over_cond mon_sold,over_cond yr_sold,age_home_at_sale age_remodel_at_sale,age_home_at_sale tot_bsmt_sf,age_home_at_sale gr_liv_area,age_home_at_sale bsmt_full_bath,age_home_at_sale bsmt_half_bath,age_home_at_sale full_bath,age_home_at_sale half_bath,age_home_at_sale bed_abvgr,age_home_at_sale enc_porch,age_home_at_sale mon_sold,age_home_at_sale yr_sold,age_remodel_at_sale tot_bsmt_sf,age_remodel_at_sale gr_liv_area,age_remodel_at_sale bsmt_full_bath,age_remodel_at_sale bsmt_half_bath,age_remodel_at_sale full_bath,age_remodel_at_sale half_bath,age_remodel_at_sale bed_abvgr,age_remodel_at_sale enc_porch,age_remodel_at_sale mon_sold,age_remodel_at_sale yr_sold,tot_bsmt_sf gr_liv_area,tot_bsmt_sf bsmt_full_bath,tot_bsmt_sf bsmt_half_bath,tot_bsmt_sf full_bath,tot_bsmt_sf half_bath,tot_bsmt_sf bed_abvgr,tot_bsmt_sf enc_porch,tot_bsmt_sf mon_sold,tot_bsmt_sf yr_sold,gr_liv_area bsmt_full_bath,gr_liv_area bsmt_half_bath,gr_liv_area full_bath,gr_liv_area half_bath,gr_liv_area bed_abvgr,gr_liv_area enc_porch,gr_liv_area mon_sold,gr_liv_area yr_sold,bsmt_full_bath bsmt_half_bath,bsmt_full_bath full_bath,bsmt_full_bath half_bath,bsmt_full_bath bed_abvgr,bsmt_full_bath enc_porch,bsmt_full_bath mon_sold,bsmt_full_bath yr_sold,bsmt_half_bath full_bath,bsmt_half_bath half_bath,bsmt_half_bath bed_abvgr,bsmt_half_bath enc_porch,bsmt_half_bath mon_sold,bsmt_half_bath yr_sold,full_bath half_bath,full_bath bed_abvgr,full_bath enc_porch,full_bath mon_sold,full_bath yr_sold,half_bath bed_abvgr,half_bath enc_porch,half_bath mon_sold,half_bath yr_sold,bed_abvgr enc_porch,bed_abvgr mon_sold,bed_abvgr yr_sold,enc_porch mon_sold,enc_porch yr_sold,mon_sold yr_sold,ms_subclass_30,ms_subclass_40,ms_subclass_45,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_75,ms_subclass_80,ms_subclass_85,ms_subclass_90,ms_subclass_120,ms_subclass_150,ms_subclass_160,ms_subclass_180,ms_subclass_190,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,util_NoSeWa,util_NoSewr,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neigh_Blueste,neigh_BrDale,neigh_BrkSide,neigh_ClearCr,neigh_CollgCr,neigh_Crawfor,neigh_Edwards,neigh_Gilbert,neigh_Greens,neigh_GrnHill,neigh_IDOTRR,neigh_Landmrk,neigh_MeadowV,neigh_Mitchel,neigh_NAmes,neigh_NPkVill,neigh_NWAmes,neigh_NoRidge,neigh_NridgHt,neigh_OldTown,neigh_SWISU,neigh_Sawyer,neigh_SawyerW,neigh_Somerst,neigh_StoneBr,neigh_Timber,neigh_Veenker,bld_type_2fmCon,bld_type_Duplex,bld_type_Twnhs,bld_type_TwnhsE,hs_style_1.5Unf,hs_style_1Story,hs_style_2.5Fin,hs_style_2.5Unf,hs_style_2Story,hs_style_SFoyer,hs_style_SLvl,ext_qual_Fa,ext_qual_Gd,ext_qual_TA,ext_cond_Fa,ext_cond_Gd,ext_cond_Po,ext_cond_TA,bsmt_cond_Fa,bsmt_cond_Gd,bsmt_cond_NA,bsmt_cond_Po,bsmt_cond_TA,heat_qc_Fa,heat_qc_Gd,heat_qc_Po,heat_qc_TA,cen_air_Y,kit_qual_Fa,kit_qual_Gd,kit_qual_Po,kit_qual_TA,funct_Maj2,funct_Min1,funct_Min2,funct_Mod,funct_Sal,funct_Sev,funct_Typ,garag_type_Attchd,garag_type_Basment,garag_type_BuiltIn,garag_type_CarPort,garag_type_Detchd,garag_type_NA,pool_qc_Fa,pool_qc_Gd,pool_qc_NA,pool_qc_TA,misc_feat_Gar2,misc_feat_NA,misc_feat_Othr,misc_feat_Shed,misc_feat_TenC,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_VWD,sale_type_WD 
13517.0,6.0,8.0,34.0,5.0,725.0,1479.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,2010.0,81102.0,108136.0,459578.0,67585.0,9799825.0,19991643.0,0.0,0.0,27034.0,13517.0,40551.0,0.0,40551.0,27169170.0,48.0,204.0,30.0,4350.0,8874.0,0.0,0.0,12.0,6.0,18.0,0.0,18.0,12060.0,272.0,40.0,5800.0,11832.0,0.0,0.0,16.0,8.0,24.0,0.0,24.0,16080.0,170.0,24650.0,50286.0,0.0,0.0,68.0,34.0,102.0,0.0,102.0,68340.0,3625.0,7395.0,0.0,0.0,10.0,5.0,15.0,0.0,15.0,10050.0,1072275.0,0.0,0.0,1450.0,725.0,2175.0,0.0,2175.0,1457250.0,0.0,0.0,2958.0,1479.0,4437.0,0.0,4437.0,2972790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,4020.0,3.0,0.0,3.0,2010.0,0.0,9.0,6030.0,0.0,0.0,6030.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11492.0,7.0,5.0,13.0,12.0,913.0,2122.0,1.0,0.0,2.0,1.0,4.0,0.0,4.0,2009.0,80444.0,57460.0,149396.0,137904.0,10492196.0,24386024.0,11492.0,0.0,22984.0,11492.0,45968.0,0.0,45968.0,23087428.0,35.0,91.0,84.0,6391.0,14854.0,7.0,0.0,14.0,7.0,28.0,0.0,28.0,14063.0,65.0,60.0,4565.0,10610.0,5.0,0.0,10.0,5.0,20.0,0.0,20.0,10045.0,156.0,11869.0,27586.0,13.0,0.0,26.0,13.0,52.0,0.0,52.0,26117.0,10956.0,25464.0,12.0,0.0,24.0,12.0,48.0,0.0,48.0,24108.0,1937386.0,913.0,0.0,1826.0,913.0,3652.0,0.0,3652.0,1834217.0,2122.0,0.0,4244.0,2122.0,8488.0,0.0,8488.0,4263098.0,0.0,2.0,1.0,4.0,0.0,4.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,8.0,4018.0,4.0,0.0,4.0,2009.0,0.0,16.0,8036.0,0.0,0.0,8036.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7922.0,5.0,7.0,57.0,3.0,1057.0,1057.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2010.0,39610.0,55454.0,451554.0,23766.0,8373554.0,8373554.0,7922.0,0.0,7922.0,0.0,23766.0,0.0,7922.0,15923220.0,35.0,285.0,15.0,5285.0,5285.0,5.0,0.0,5.0,0.0,15.0,0.0,5.0,10050.0,399.0,21.0,7399.0,7399.0,7.0,0.0,7.0,0.0,21.0,0.0,7.0,14070.0,171.0,60249.0,60249.0,57.0,0.0,57.0,0.0,171.0,0.0,57.0,114570.0,3171.0,3171.0,3.0,0.0,3.0,0.0,9.0,0.0,3.0,6030.0,1117249.0,1057.0,0.0,1057.0,0.0,3171.0,0.0,1057.0,2124570.0,1057.0,0.0,1057.0,0.0,3171.0,0.0,1057.0,2124570.0,0.0,1.0,0.0,3.0,0.0,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,3.0,6030.0,0.0,0.0,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9802.0,5.0,5.0,4.0,3.0,384.0,1444.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,2010.0,49010.0,49010.0,39208.0,29406.0,3763968.0,14154088.0,0.0,0.0,19604.0,9802.0,29406.0,0.0,39208.0,19702020.0,25.0,20.0,15.0,1920.0,7220.0,0.0,0.0,10.0,5.0,15.0,0.0,20.0,10050.0,20.0,15.0,1920.0,7220.0,0.0,0.0,10.0,5.0,15.0,0.0,20.0,10050.0,12.0,1536.0,5776.0,0.0,0.0,8.0,4.0,12.0,0.0,16.0,8040.0,1152.0,4332.0,0.0,0.0,6.0,3.0,9.0,0.0,12.0,6030.0,554496.0,0.0,0.0,768.0,384.0,1152.0,0.0,1536.0,771840.0,0.0,0.0,2888.0,1444.0,4332.0,0.0,5776.0,2902440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,8.0,4020.0,3.0,0.0,4.0,2010.0,0.0,12.0,6030.0,0.0,0.0,8040.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14235.0,6.0,8.0,110.0,17.0,676.0,1445.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,2010.0,85410.0,113880.0,1565850.0,241995.0,9622860.0,20569575.0,0.0,0.0,28470.0,0.0,42705.0,0.0,42705.0,28612350.0,48.0,660.0,102.0,4056.0,8670.0,0.0,0.0,12.0,0.0,18.0,0.0,18.0,12060.0,880.0,136.0,5408.0,11560.0,0.0,0.0,16.0,0.0,24.0,0.0,24.0,16080.0,1870.0,74360.0,158950.0,0.0,0.0,220.0,0.0,330.0,0.0,330.0,221100.0,11492.0,24565.0,0.0,0.0,34.0,0.0,51.0,0.0,51.0,34170.0,976820.0,0.0,0.0,1352.0,0.0,2028.0,0.0,2028.0,1358760.0,0.0,0.0,2890.0,0.0,4335.0,0.0,4335.0,2904450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4020.0,0.0,0.0,0.0,0.0,0.0,9.0,6030.0,0.0,0.0,6030.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16492.0,6.0,6.0,44.0,8.0,1517.0,1888.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0,2010.0,98952.0,98952.0,725648.0,131936.0,25018364.0,31136896.0,0.0,0.0,32984.0,16492.0,32984.0,0.0,98952.0,33148920.0,36.0,264.0,48.0,9102.0,11328.0,0.0,0.0,12.0,6.0,12.0,0.0,36.0,12060.0,264.0,48.0,9102.0,11328.0,0.0,0.0,12.0,6.0,12.0,0.0,36.0,12060.0,352.0,66748.0,83072.0,0.0,0.0,88.0,44.0,88.0,0.0,264.0,88440.0,12136.0,15104.0,0.0,0.0,16.0,8.0,16.0,0.0,48.0,16080.0,2864096.0,0.0,0.0,3034.0,1517.0,3034.0,0.0,9102.0,3049170.0,0.0,0.0,3776.0,1888.0,3776.0,0.0,11328.0,3794880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,4020.0,2.0,0.0,6.0,2010.0,0.0,12.0,4020.0,0.0,0.0,12060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3675.0,6.0,5.0,1.0,0.0,547.0,1072.0,1.0,0.0,2.0,0.0,2.0,0.0,6.0,2006.0,22050.0,18375.0,3675.0,0.0,2010225.0,3939600.0,3675.0,0.0,7350.0,0.0,7350.0,0.0,22050.0,7372050.0,30.0,6.0,0.0,3282.0,6432.0,6.0,0.0,12.0,0.0,12.0,0.0,36.0,12036.0,5.0,0.0,2735.0,5360.0,5.0,0.0,10.0,0.0,10.0,0.0,30.0,10030.0,0.0,547.0,1072.0,1.0,0.0,2.0,0.0,2.0,0.0,6.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586384.0,547.0,0.0,1094.0,0.0,1094.0,0.0,3282.0,1097282.0,1072.0,0.0,2144.0,0.0,2144.0,0.0,6432.0,2150432.0,0.0,2.0,0.0,2.0,0.0,6.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,4012.0,0.0,0.0,0.0,0.0,0.0,12.0,4012.0,0.0,0.0,12036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12160.0,5.0,5.0,51.0,51.0,1188.0,1188.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,2010.0,60800.0,60800.0,620160.0,620160.0,14446080.0,14446080.0,12160.0,0.0,12160.0,0.0,36480.0,0.0,60800.0,24441600.0,25.0,255.0,255.0,5940.0,5940.0,5.0,0.0,5.0,0.0,15.0,0.0,25.0,10050.0,255.0,255.0,5940.0,5940.0,5.0,0.0,5.0,0.0,15.0,0.0,25.0,10050.0,2601.0,60588.0,60588.0,51.0,0.0,51.0,0.0,153.0,0.0,255.0,102510.0,60588.0,60588.0,51.0,0.0,51.0,0.0,153.0,0.0,255.0,102510.0,1411344.0,1188.0,0.0,1188.0,0.0,3564.0,0.0,5940.0,2387880.0,1188.0,0.0,1188.0,0.0,3564.0,0.0,5940.0,2387880.0,0.0,1.0,0.0,3.0,0.0,5.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2010.0,0.0,0.0,0.0,0.0,0.0,15.0,6030.0,0.0,0.0,10050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15783.0,5.0,5.0,55.0,55.0,924.0,924.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,2007.0,78915.0,78915.0,868065.0,868065.0,14583492.0,14583492.0,0.0,0.0,15783.0,0.0,31566.0,0.0,94698.0,31676481.0,25.0,275.0,275.0,4620.0,4620.0,0.0,0.0,5.0,0.0,10.0,0.0,30.0,10035.0,275.0,275.0,4620.0,4620.0,0.0,0.0,5.0,0.0,10.0,0.0,30.0,10035.0,3025.0,50820.0,50820.0,0.0,0.0,55.0,0.0,110.0,0.0,330.0,110385.0,50820.0,50820.0,0.0,0.0,55.0,0.0,110.0,0.0,330.0,110385.0,853776.0,0.0,0.0,924.0,0.0,1848.0,0.0,5544.0,1854468.0,0.0,0.0,924.0,0.0,1848.0,0.0,5544.0,1854468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2007.0,0.0,0.0,0.0,0.0,0.0,12.0,4014.0,0.0,0.0,12042.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11606.0,5.0,5.0,38.0,38.0,1040.0,2080.0,0.0,1.0,1.0,2.0,5.0,0.0,9.0,2007.0,58030.0,58030.0,441028.0,441028.0,12070240.0,24140480.0,0.0,11606.0,11606.0,23212.0,58030.0,0.0,104454.0,23293242.0,25.0,190.0,190.0,5200.0,10400.0,0.0,5.0,5.0,10.0,25.0,0.0,45.0,10035.0,190.0,190.0,5200.0,10400.0,0.0,5.0,5.0,10.0,25.0,0.0,45.0,10035.0,1444.0,39520.0,79040.0,0.0,38.0,38.0,76.0,190.0,0.0,342.0,76266.0,39520.0,79040.0,0.0,38.0,38.0,76.0,190.0,0.0,342.0,76266.0,2163200.0,0.0,1040.0,1040.0,2080.0,5200.0,0.0,9360.0,2087280.0,0.0,2080.0,2080.0,4160.0,10400.0,0.0,18720.0,4174560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,9.0,2007.0,2.0,5.0,0.0,9.0,2007.0,10.0,0.0,18.0,4014.0,0.0,45.0,10035.0,0.0,0.0,18063.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
